item,cond,stimuli
1,1,"During the trainee barrister's pupillage, he had been trained to aid@in cases which required many forms of National Legal Parliament@Activity (NLPA) support. This had benefited the young man greatly as@his first case involved a law firm being mis-sold NLPA insurance.@The training that he had received involved finding previous@cases of NLPA insurance being mis-sold on both a national and@global scale and using these to aid trained lawyers in court. Not@only did the young barrister win the case, his cross examination of the@mis-selling of NLPA insurance was commended by his superiors. While@he did not originally intend to ever work on an NLPA case, he was@thankful he was given this opportunity."
1,2,"During the trainee barrister's pupillage, he had been trained to aid@in cases which required many forms of Negligent Libel Plaintiff@Acquittal (NLPA) support. This had benefited the young man greatly as@his first case involved a law firm being mis-sold NLPA insurance.@The training that he had received involved finding previous@cases of NLPA insurance being mis-sold on both a national and@global scale and using these to aid trained lawyers in court. Not@only did the young barrister win the case, his cross examination of the@mis-selling of NLPA insurance was commended by his superiors. While@he did not originally intend to ever work on an NLPA case, he was@thankful he was given this opportunity."
2,1,"The bake sale at the local school raised a record breaking £238.47@for the Childhood Brain Trauma Research (CBTR) charity. To thank@the school, a representative from CBTR came to deliver a talk the@following morning. Little did she know that the parents and teachers@had arranged a silent auction to raise further funds for CBTR charity.@Overwhelmed, the representative let out a tear and thanked all those@involved. She then explained how the CBTR would use the money@to fund research and help benefit the families of those affected.@Finally, she went on to discuss the long-term goals of the organisation@and explained how those interested in CBTR could give £5 a month to@support the charity."
2,2,"The bake sale at the local school raised a record breaking £238.47@for the Cancerous Buccal Tumour Recurrence (CBTR) charity. To thank@the school, a representative from CBTR came to deliver a talk the@following morning. Little did she know that the parents and teachers@had arranged a silent auction to raise further funds for CBTR charity.@Overwhelmed, the representative let out a tear and thanked all those@involved. She then explained how the CBTR would use the money@to fund research and help benefit the families of those affected.@Finally, she went on to discuss the long-term goals of the organisation@and explained how those interested in CBTR could give £5 a month to@support the charity."
3,1,"Simon had recently received a pay-out of £500 from the Permanent@Financial Performance Benefit (PFPB) fund made available to all@employees at Swansea University. Previously, the PFPB had only been@available to those in managerial positions, meaning that those lower@down were often unrewarded for their hard work. The current changes@to the PFPB funds came about after months of long discussion between@senate and a working body from the University. Headed by Tony Ward, the@group sought to change who could apply for a PFPB grant while increasing@the number of grants made available to those working at all Swansea@University campuses. In total since 2017, there have been twenty-five@successful PFPB applications made and this looks set to rise."
3,2,"Simon had recently received a pay-out of £500 from the Partially@Fundable Progression Bursary (PFPB) fund made available to all@employees at Swansea University. Previously, the PFPB had only been@available to those in managerial positions, meaning that those lower@down were often unrewarded for their hard work. The current changes@to the PFPB funds came about after months of long discussion between@senate and a working body from the University. Headed by Tony Ward, the@group sought to change who could apply for a PFPB grant while increasing@the number of grants made available to those working at all Swansea@University campuses. In total since 2017, there have been twenty-five@successful PFPB applications made and this looks set to rise."
4,1,"The botanist consulted page 308 of the Leaf Format Flow Test (LFFT)@in an attempt to locate the formula needed to examine the movement of@water through the plants' cells. As a valid measure of osmosis, that@is the movement of water through a permeable cell membrane, LFFT has@been used for many decades as a measure of water movement. Of course,@a newer version of the LFFT has been used periodically, but they often@yield different patterns of data when compared to the original.@Perhaps this is an indication that the newer LFFT variants are in fact@tapping into different measures, although this is unlikely. Instead it@may be seen as evidence to suggest that LFFT is not consistent in what@it measures."
4,2,"The botanist consulted page 308 of the Linear Flux Flora Taxon (LFFT)@in an attempt to locate the formula needed to examine the movement of@water through the plants' cells. As a valid measure of osmosis, that@is the movement of water through a permeable cell membrane, LFFT has@been used for many decades as a measure of water movement. Of course,@a newer version of the LFFT has been used periodically, but they often@yield different patterns of data when compared to the original.@Perhaps this is an indication that the newer LFFT variants are in fact@tapping into different measures, although this is unlikely. Instead it@may be seen as evidence to suggest that LFFT is not consistent in what@it measures."
5,1,"In the staffroom, the teachers were informed about the changes to the@National Science Reading Course (NSRC) that were to be implemented@in the following term. In the last 10 years, the content and structure@of the NSRC had been changed repeatedly and each change came with@heavy criticism from teaching staff. Changes to NSRC the content meant@that teachers were required to learn the supplementary content in@addition to adapting lesson plans accordingly. What was significant@about this change was that it meant that many teachers were no longer@qualified to teach certain NSRC topics because guidelines stated that@teachers should be educated to degree level. This worried the head@teacher greatly as it was becoming possible that they could no@longer teach the NSRC appropriately and accurately."
5,2,"In the staffroom, the teachers were informed about the changes to the@Numeracy Socratic Rubric Concept (NSRC) that were to be implemented@in the following term. In the last 10 years, the content and structure@of the NSRC had been changed repeatedly and each change came with@heavy criticism from teaching staff. Changes to NSRC the content meant@that teachers were required to learn the supplementary content in@addition to adapting lesson plans accordingly. What was significant@about this change was that it meant that many teachers were no longer@qualified to teach certain NSRC topics because guidelines stated that@teachers should be educated to degree level. This worried the head@teacher greatly as it was becoming possible that they could no@longer teach the NSRC appropriately and accurately."
