item	Cond	font_size	line_length	Line1	Line2	Whole_sentence
1	1	0,295	16	The three musicians organised a tour last year to meet	their fans and celebrate the release of their new studio album.	The three musicians organised a tour last year to meet their fans and celebrate the release of their new studio album.
1	2	0,394	16	The two DJs did a tour last year to meet	their fans and celebrate the release of their new studio album.	The two DJs did a tour last year to meet their fans and celebrate the release of their new studio album.
1	3	0,295	26	The three award-winning musicians decided to organise a national tour last year to meet	their fans and celebrate the release of their new studio album.	The three award-winning musicians decided to organise a national tour last year to meet their fans and celebrate the release of their new studio album.
1	4	0,394	26	The award-winning DJs organised a national tour last year to meet	their fans and celebrate the release of their new studio album.	The award-winning DJs organised a national tour last year to meet their fans and celebrate the release of their new studio album.
2	1	0,295	16	While the farmer steered the tractor, his 17 year old	son was busy milking the cows in the barn.	While the farmer steered the tractor, his 17 year old son was busy milking the cows in the barn.
2	2	0,394	16	While he fixed the mower, his 17 year old	son was busy milking the cows in the barn.	While he fixed the mower, his 17 year old son was busy milking the cows in the barn.
2	3	0,295	26	While the agricultural farmer whistled and steered the expensive tractor, his 17 year old	son was busy milking the cows in the barn.	While the agricultural farmer whistled and steered the expensive tractor, his 17 year old son was busy milking the cows in the barn.
2	4	0,394	26	While the old farmer steered the expensive tractor, his 17 year old	son was busy milking the cows in the barn.	While the old farmer steered the expensive tractor, his 17 year old son was busy milking the cows in the barn.
3	1	0,295	16	The group of tourists flocked to the open field where a	music festival was being held for the first time.	The group of tourists flocked to the open field where a music festival was being held for the first time.
3	2	0,394	16	The group went to the open field where a	music festival was being held for the first time.	The group went to the open field where a music festival was being held for the first time.
3	3	0,295	26	The overjoyed tourists could be heard singing as they flocked to the open field where a	music festival was being held for the first time.	The overjoyed tourists could be heard singing as they flocked to the open field where a music festival was being held for the first time.
3	4	0,394	26	The huge group of tourists slowly flocked to the open field where a	music festival was being held for the first time.	The huge group of tourists slowly flocked to the open field where a music festival was being held for the first time.
4	1	0,295	16	The two youngest sisters played and laughed in the sun	as they enjoyed the last days of summer.	The two youngest sisters played and laughed in the sun as they enjoyed the last days of summer.
